MF_GO_IDs,gene
GO:0000287,_ptg000482l_000014
GO:0000287,_ptg000541l_000012
GO:0000287,_ptg000718l_000013
GO:0000287,_ptg000146l_000022
GO:0000287,_ptg000519l_000002
GO:0000287,_ptg000359l_000004
GO:0000287,_ptg001098l_000004
GO:0000287,_ptg000390l_000015
GO:0000287,_ptg000208l_000011
GO:0000287,_ptg000241l_000014
GO:0000287,_ptg000898l_000002
GO:0000287,_ptg000540l_000004
GO:0000287,_ptg000010l_002611
GO:0000287,_ptg000019l_000573
GO:0000287,_ptg000006l_000313
GO:0000287,_ptg000009l_000515
GO:0000287,_ptg000018l_001066
GO:0000287,_ptg000008l_000523
GO:0000287,_ptg000025l_000985
GO:0000287,_ptg000038l_000933
GO:0000287,_ptg000001l_000388
GO:0000287,_ptg000014l_000668
GO:0000287,_ptg000018l_001668
GO:0000287,_ptg000018l_001183
GO:0000287,_ptg000007l_000623
GO:0000287,_ptg000018l_000933
GO:0000287,_ptg000011l_000122
GO:0000287,_ptg000007l_000059
GO:0000287,_ptg000003l_001056
GO:0000287,_ptg000007l_001392
GO:0000287,_ptg000019l_001236
GO:0000287,_ptg000014l_000261
GO:0000287,_ptg000019l_000532
GO:0000287,_ptg000007l_001020
GO:0000287,_ptg000038l_000142
GO:0000287,_ptg000038l_000152
GO:0000287,_ptg000019l_001036
GO:0000287,_ptg000007l_001488
GO:0000287,_ptg000027l_000056
GO:0000287,_ptg000038l_000139
GO:0000287,_ptg000014l_000855
GO:0000287,_ptg000006l_001922
GO:0000287,_ptg000038l_000151
GO:0000287,_ptg000019l_001043
GO:0000287,_ptg000038l_000136
GO:0000287,_ptg000019l_000604
GO:0000287,_ptg000006l_001059
GO:0000287,_ptg000038l_000155
GO:0000287,_ptg000038l_000141
GO:0000287,_ptg000010l_000692
GO:0000287,_ptg000020l_000334
GO:0000287,_ptg000019l_000589
GO:0000287,_ptg000016l_002143
GO:0000287,_ptg000038l_000145
GO:0000287,_ptg000019l_000428
GO:0000287,_ptg000008l_000841
GO:0000287,_ptg000003l_001036
GO:0000287,_ptg000018l_000418
GO:0000287,_ptg000008l_000842
GO:0000287,_ptg000014l_000859
GO:0000287,_ptg000009l_000050
GO:0000287,_ptg000006l_001060
GO:0000287,_ptg000001l_000518
GO:0000287,_ptg000038l_000149
GO:0000287,_ptg000007l_000171
GO:0000287,_ptg000010l_002434
GO:0000287,_ptg000023l_000930
GO:0000287,_ptg000074l_000001
GO:0000287,_ptg000829l_000016
GO:0000287,_ptg000368l_000003
GO:0000287,_ptg000569l_000022
GO:0000287,_ptg000300l_000013
GO:0000287,_ptg000482l_000013
GO:0000287,_ptg001065l_000001
GO:0000287,_ptg000503l_000001
GO:0000287,_ptg000291l_000017
GO:0000287,_ptg000765l_000010
GO:0000287,_ptg000898l_000001
GO:0000287,_ptg000895l_000001
GO:0000287,_ptg000443l_000003
GO:0000287,_ptg000994l_000001
GO:0000287,_ptg000329l_000001
GO:0000287,_ptg000701l_000008
GO:0000287,_ptg000934l_000011
GO:0000287,_ptg000556l_000003
GO:0000287,_ptg000552l_000003
GO:0000287,_ptg000541l_000011
GO:0000287,_ptg000681l_000003
GO:0000287,_ptg001063l_000016
GO:0000287,_ptg000957l_000001
GO:0000287,_ptg000748l_000010
GO:0000287,_ptg000235l_000001
GO:0000287,_ptg000853l_000010
GO:0000287,_ptg000049l_000017
GO:0000287,_ptg000928l_000016
GO:0000287,_ptg000584l_000018
GO:0000287,_ptg000669l_000014
GO:0000287,_ptg000301l_000016
GO:0000287,_ptg000535l_000001
GO:0000287,_ptg000399l_000001
GO:0000287,_ptg000640l_000011
GO:0000287,_ptg000500l_000012
GO:0000287,_ptg000530l_000001
GO:0000287,_ptg000151l_000009
GO:0000287,_ptg000008l_000020
GO:0000287,_ptg000241l_000013
GO:0000287,_ptg000652l_000003
GO:0000287,_ptg000965l_000008
GO:0000287,_ptg000909l_000011
GO:0000287,_ptg000111l_000003
GO:0000287,_ptg000320l_000013
GO:0000287,_ptg000524l_000003
GO:0000287,_ptg000223l_000015
GO:0000287,_ptg000573l_000011
GO:0000287,_ptg000680l_000003
GO:0000287,_ptg000202l_000002
GO:0000287,_ptg000519l_000001
GO:0000287,_ptg000277l_000011
GO:0000287,_ptg000723l_000011
GO:0000287,_ptg000815l_000006
GO:0000287,_ptg000864l_000002
GO:0000287,_ptg000079l_000003
GO:0000287,_ptg000787l_000001
GO:0000287,_ptg000374l_000017
GO:0000287,_ptg000256l_000017
GO:0000287,_ptg000465l_000031
GO:0000287,_ptg000134l_000003
GO:0000287,_ptg000093l_000001
GO:0000287,_ptg000379l_000027
GO:0000287,_ptg000252l_000022
GO:0000287,_ptg000095l_000005
GO:0000287,_ptg001031l_000003
GO:0000287,_ptg001115l_000003
GO:0000287,_ptg001019l_000001
GO:0000287,_ptg000788l_000014
GO:0000287,_ptg000883l_000002
GO:0000287,_ptg000389l_000017
GO:0000287,_ptg000042l_000050
GO:0000287,_ptg001040l_000002
GO:0000287,_ptg000587l_000003
GO:0000287,_ptg000529l_000016
GO:0000287,_ptg000890l_000016
GO:0000287,_ptg000328l_000017
GO:0000287,_ptg000758l_000001
GO:0000287,_ptg000497l_000003
GO:0000287,_ptg000289l_000011
GO:0000287,_ptg000698l_000001
GO:0000287,_ptg000654l_000003
GO:0000287,_ptg000475l_000001
GO:0000287,_ptg000521l_000006
GO:0000287,_ptg000531l_000003
GO:0000287,_ptg000166l_000001
GO:0000287,_ptg000959l_000008
GO:0000287,_ptg000948l_000017
GO:0000287,_ptg000955l_000009
GO:0000287,_ptg000357l_000010
GO:0000287,_ptg000146l_000021
GO:0000287,_ptg000646l_000016
GO:0000287,_ptg000417l_000003
GO:0000287,_ptg000731l_000001
GO:0000287,_ptg000506l_000011
GO:0000287,_ptg000353l_000013
GO:0000287,_ptg000343l_000001
GO:0000287,_ptg000337l_000001
GO:0000287,_ptg000010l_002931
GO:0000287,_ptg000619l_000001
GO:0000287,_ptg000479l_000012
GO:0000287,_ptg000568l_000003
GO:0000287,_ptg000467l_000007
GO:0000287,_ptg000184l_000001
GO:0000287,_ptg000551l_000001
GO:0000287,_ptg000183l_000010
GO:0000287,_ptg000960l_000014
GO:0000287,_ptg000206l_000022
GO:0000287,_ptg000662l_000001
GO:0000287,_ptg000100l_000011
GO:0000287,_ptg000416l_000023
GO:0000287,_ptg000299l_000001
GO:0000287,_ptg000410l_000008
GO:0000287,_ptg000442l_000001
GO:0000287,_ptg000799l_000014
GO:0000287,_ptg000759l_000009
GO:0000287,_ptg001032l_000001
GO:0000287,_ptg000983l_000013
GO:0000287,_ptg000618l_000010
GO:0000287,_ptg000689l_000003
GO:0000287,_ptg000794l_000008
GO:0000287,_ptg000650l_000003
GO:0000287,_ptg000784l_000003
GO:0000287,_ptg000002l_000163
GO:0000287,_ptg000623l_000009
GO:0000287,_ptg000302l_000003
GO:0000287,_ptg000003l_000106
GO:0000287,_ptg000208l_000010
GO:0000287,_ptg001018l_000003
GO:0000287,_ptg000438l_000004
GO:0000287,_ptg000362l_000003
GO:0000287,_ptg000075l_000020
GO:0000287,_ptg000630l_000017
GO:0000287,_ptg000023l_000022
GO:0000287,_ptg000834l_000017
GO:0000287,_ptg000367l_000021
GO:0000287,_ptg000940l_000010
GO:0000287,_ptg000802l_000003
GO:0000287,_ptg000283l_000012
GO:0000287,_ptg001097l_000008
GO:0000287,_ptg000019l_000175
GO:0000287,_ptg000007l_001251
GO:0000287,_ptg000011l_000151
GO:0000287,_ptg000018l_001724
GO:0000287,_ptg000010l_000805
GO:0000287,_ptg000027l_000639
GO:0000287,_ptg000010l_001437
GO:0000287,_ptg000006l_000751
GO:0000287,_ptg000008l_000357
GO:0000287,_ptg000010l_001438
GO:0000386,_ptg000011l_000332
GO:0000774,_ptg000010l_002875
GO:0000829,_ptg000025l_000747
GO:0000906,_ptg000018l_000155
GO:0000906,_ptg000006l_001485
GO:0000976,_ptg000020l_001443
GO:0000977,_ptg000003l_000181
GO:0000977,_ptg000006l_001782
GO:0000977,_ptg000007l_000260
GO:0000977,_ptg000027l_000481
GO:0000977,_ptg000016l_002039
GO:0000977,_ptg000003l_000003
GO:0000977,_ptg000014l_001281
GO:0000977,_ptg000001l_000198
GO:0000977,_ptg000038l_000771
GO:0000977,_ptg000010l_002431
GO:0000977,_ptg000001l_000424
GO:0000977,_ptg000019l_000686
GO:0000977,_ptg000018l_001716
GO:0000977,_ptg000025l_001093
GO:0000977,_ptg000019l_001456
GO:0000981,_ptg000008l_001425
GO:0000981,_ptg000025l_000170
GO:0000981,_ptg000001l_000230
GO:0000981,_ptg000027l_001105
GO:0000981,_ptg000008l_000946
GO:0000981,_ptg000014l_000976
GO:0000981,_ptg000020l_000611
GO:0000981,_ptg000016l_000458
GO:0000981,_ptg000020l_001096
GO:0000981,_ptg000019l_000767
GO:0000981,_ptg000016l_000461
GO:0000981,_ptg000010l_002165
GO:0000981,_ptg000016l_000457
GO:0000981,_ptg000016l_000459
GO:0000981,_ptg000008l_000676
GO:0000981,_ptg000014l_001300
GO:0000981,_ptg000016l_000522
GO:0000981,_ptg000019l_000768
GO:0000981,_ptg000010l_001385
GO:0000981,_ptg000008l_000184
GO:0000981,_ptg000020l_000870
GO:0000981,_ptg000006l_000260
GO:0000981,_ptg000014l_001164
GO:0000981,_ptg000019l_000971
GO:0000981,_ptg000018l_001502
GO:0000981,_ptg000007l_000918
GO:0000981,_ptg000010l_001014
GO:0000981,_ptg000001l_001902
GO:0000981,_ptg000038l_000283
GO:0000981,_ptg000029l_000060
GO:0000987,_ptg000020l_001115
GO:0000987,_ptg000020l_001114
GO:0000987,_ptg000029l_000056
GO:0000987,_ptg000029l_000062
GO:0000987,_ptg000020l_000604
GO:0000987,_ptg000014l_000940
GO:0000987,_ptg000020l_000608
GO:0000987,_ptg000020l_001116
GO:0000987,_ptg000001l_000644
GO:0000987,_ptg000020l_001113
GO:0000995,_ptg000006l_000520
GO:0000995,_ptg000014l_001392
GO:0001164,_ptg000001l_000836
GO:0001671,_ptg000008l_000573
GO:0001735,_ptg000018l_001714
GO:0002151,_ptg000016l_001601
GO:0002151,_ptg000001l_000425
GO:0002151,_ptg000025l_001094
GO:0002161,_ptg000010l_002801
GO:0002161,_ptg000006l_000227
GO:0002161,_ptg000006l_001301
GO:0002161,_ptg000008l_000222
GO:0002161,_ptg000008l_000958
GO:0002953,_ptg000016l_001231
GO:0002953,_ptg000027l_000567
GO:0003676,_ptg000004l_000754
GO:0003676,_ptg000011l_000195
GO:0003676,_ptg000007l_000957
GO:0003676,_ptg000010l_002626
GO:0003676,_ptg000029l_000304
GO:0003676,_ptg000003l_000606
GO:0003676,_ptg000038l_000684
GO:0003676,_ptg000025l_000459
GO:0003676,_ptg000018l_000503
GO:0003676,_ptg000008l_001546
GO:0003676,_ptg000012l_000114
GO:0003676,_ptg000014l_001572
GO:0003676,_ptg000027l_000201
GO:0003676,_ptg000020l_001606
GO:0003676,_ptg000014l_000768
GO:0003676,_ptg000006l_000092
GO:0003676,_ptg000006l_001167
GO:0003676,_ptg000004l_000702
GO:0003676,_ptg000012l_000086
GO:0003676,_ptg000024l_000133
GO:0003676,_ptg000001l_001287
GO:0003676,_ptg000010l_002835
GO:0003676,_ptg000038l_000349
GO:0003676,_ptg000003l_000567
GO:0003676,_ptg000012l_000440
GO:0003676,_ptg000014l_001016
GO:0003676,_ptg000027l_000291
GO:0003676,_ptg000004l_000772
GO:0003676,_ptg000027l_000878
GO:0003676,_ptg000008l_000576
GO:0003676,_ptg000010l_000921
GO:0003676,_ptg000001l_000933
GO:0003676,_ptg000012l_000477
GO:0003676,_ptg000014l_000769
GO:0003676,_ptg000023l_000206
GO:0003676,_ptg000014l_000195
GO:0003676,_ptg000019l_001282
GO:0003676,_ptg000018l_000505
GO:0003676,_ptg000020l_000133
GO:0003676,_ptg000020l_001351
GO:0003676,_ptg000001l_001899
GO:0003676,_ptg000003l_000432
GO:0003676,_ptg000007l_001516
GO:0003676,_ptg000009l_000387
GO:0003676,_ptg000023l_000442
GO:0003676,_ptg000016l_001606
GO:0003676,_ptg000014l_001124
GO:0003676,_ptg000016l_002188
GO:0003676,_ptg000025l_001040
GO:0003676,_ptg000001l_000509
GO:0003676,_ptg000029l_000089
GO:0003676,_ptg000006l_001275
GO:0003676,_ptg000018l_001974
GO:0003676,_ptg000020l_001031
GO:0003676,_ptg000012l_000031
GO:0003676,_ptg000006l_000336
GO:0003676,_ptg000023l_000332
GO:0003676,_ptg000010l_000192
GO:0003676,_ptg000020l_001479
GO:0003676,_ptg000007l_000278
GO:0003676,_ptg000014l_000767
GO:0003676,_ptg000016l_000495
GO:0003676,_ptg000014l_001675
GO:0003676,_ptg000007l_001074
GO:0003676,_ptg000009l_000381
GO:0003676,_ptg000007l_001210
GO:0003676,_ptg000007l_001463
GO:0003676,_ptg000003l_000471
GO:0003676,_ptg000027l_000338
GO:0003676,_ptg000001l_000437
GO:0003676,_ptg000025l_000424
GO:0003676,_ptg000025l_001039
GO:0003676,_ptg000006l_002032
GO:0003676,_ptg000010l_000843
GO:0003676,_ptg000009l_000191
GO:0003676,_ptg000019l_000981
GO:0003676,_ptg000016l_001054
GO:0003676,_ptg000001l_000436
GO:0003676,_ptg000009l_000598
GO:0003676,_ptg000008l_001530
GO:0003676,_ptg000010l_000982
GO:0003676,_ptg000010l_002332
GO:0003676,_ptg000004l_000589
GO:0003676,_ptg000007l_001366
GO:0003676,_ptg000019l_001112
GO:0003676,_ptg000027l_000879
GO:0003676,_ptg000009l_000386
GO:0003676,_ptg000020l_000678
GO:0003676,_ptg000016l_002077
GO:0003676,_ptg000025l_001144
GO:0003676,_ptg000004l_000777
GO:0003676,_ptg000027l_000880
GO:0003676,_ptg000006l_000498
GO:0003676,_ptg000010l_000740
GO:0003676,_ptg000027l_000127
GO:0003676,_ptg000014l_000896
GO:0003676,_ptg000020l_000238
GO:0003676,_ptg000019l_000712
GO:0003676,_ptg000023l_000467
GO:0003676,_ptg000016l_000120
GO:0003676,_ptg000002l_000024
GO:0003676,_ptg000003l_000414
GO:0003676,_ptg000012l_000180
GO:0003676,_ptg000011l_000213
GO:0003676,_ptg000010l_001490
GO:0003676,_ptg000014l_000324
GO:0003676,_ptg000010l_000155
GO:0003676,_ptg000010l_001896
GO:0003676,_ptg000027l_000293
GO:0003676,_ptg000019l_001003
GO:0003676,_ptg000025l_000157
GO:0003676,_ptg000018l_001499
GO:0003676,_ptg000002l_000472
GO:0003676,_ptg000003l_001085
GO:0003676,_ptg000014l_000156
GO:0003676,_ptg000011l_000123
GO:0003676,_ptg000010l_002264
GO:0003676,_ptg000001l_000585
GO:0003676,_ptg000008l_000008
GO:0003676,_ptg000007l_001515
GO:0003676,_ptg000010l_002836
GO:0003676,_ptg000008l_000757
GO:0003676,_ptg000007l_000722
GO:0003676,_ptg000048l_000034
GO:0003676,_ptg000014l_000992
GO:0003676,_ptg000016l_000496
GO:0003676,_ptg000018l_001117
GO:0003676,_ptg000003l_000792
GO:0003676,_ptg000010l_000599
GO:0003676,_ptg000009l_000694
GO:0003676,_ptg000010l_000755
GO:0003676,_ptg000016l_000059
GO:0003676,_ptg000007l_000286
GO:0003676,_ptg000018l_001493
GO:0003676,_ptg000007l_000693
GO:0003676,_ptg000010l_002951
GO:0003676,_ptg000007l_000707
GO:0003676,_ptg000018l_000003
GO:0003676,_ptg000010l_001287
GO:0003676,_ptg000016l_002044
GO:0003676,_ptg000027l_000146
GO:0003676,_ptg000007l_000811
GO:0003676,_ptg000010l_000974
GO:0003676,_ptg000027l_000292
GO:0003676,_ptg000007l_000285
GO:0003676,_ptg000016l_002124
GO:0003676,_ptg000008l_000371
GO:0003676,_ptg000007l_000830
GO:0003676,_ptg000020l_001294
GO:0003676,_ptg000012l_000074
GO:0003676,_ptg000025l_000546
GO:0003676,_ptg000010l_001550
GO:0003676,_ptg000007l_000471
GO:0003676,_ptg000010l_000561
GO:0003676,_ptg000002l_000003
GO:0003676,_ptg000018l_000502
GO:0003676,_ptg000009l_000631
GO:0003676,_ptg000038l_000017
GO:0003676,_ptg000010l_000264
GO:0003676,_ptg000010l_002937
GO:0003676,_ptg000018l_001181
GO:0003676,_ptg000010l_000395
GO:0003676,_ptg000001l_000069
GO:0003676,_ptg000006l_001803
GO:0003676,_ptg000007l_001499
GO:0003676,_ptg000009l_000005
GO:0003676,_ptg000004l_000555
GO:0003676,_ptg000014l_000599
GO:0003676,_ptg000007l_001122
GO:0003676,_ptg000006l_001856
GO:0003676,_ptg000001l_001544
GO:0003676,_ptg000018l_000748
GO:0003676,_ptg000016l_001660
GO:0003676,_ptg000012l_000217
GO:0003676,_ptg000006l_001894
GO:0003676,_ptg000027l_000548
GO:0003676,_ptg000007l_000858
GO:0003676,_ptg000008l_000349
GO:0003676,_ptg000014l_001291
GO:0003676,_ptg000004l_000469
GO:0003676,_ptg000009l_000632
GO:0003676,_ptg000001l_001790
GO:0003676,_ptg000001l_001952
GO:0003676,_ptg000003l_000433
GO:0003676,_ptg000014l_000318
GO:0003676,_ptg000027l_000019
GO:0003676,_ptg000008l_000029
GO:0003676,_ptg000007l_001585
GO:0003676,_ptg000001l_001319
GO:0003676,_ptg000018l_000747
GO:0003676,_ptg000014l_000770
GO:0003676,_ptg000009l_000752
GO:0003676,_ptg000010l_000444
GO:0003676,_ptg000011l_000433
GO:0003676,_ptg000027l_000296
GO:0003676,_ptg000001l_001211
GO:0003676,_ptg000010l_002369
GO:0003676,_ptg000007l_001583
GO:0003676,_ptg000001l_000339
GO:0003676,_ptg000001l_001300
GO:0003676,_ptg000019l_001284
GO:0003676,_ptg000025l_000417
GO:0003676,_ptg000016l_002130
GO:0003676,_ptg000003l_001123
GO:0003676,_ptg000008l_000532
GO:0003676,_ptg000027l_001006
GO:0003676,_ptg000016l_000056
GO:0003676,_ptg000010l_001590
GO:0003676,_ptg000004l_000588
GO:0003676,_ptg000001l_001283
GO:0003676,_ptg000023l_000584
GO:0003676,_ptg000006l_000137
GO:0003676,_ptg000038l_000293
GO:0003676,_ptg000038l_000410
GO:0003676,_ptg000016l_001778
GO:0003676,_ptg000019l_001086
GO:0003676,_ptg000009l_000809
GO:0003676,_ptg000006l_002001
GO:0003676,_ptg000011l_000039
GO:0003676,_ptg000014l_000941
GO:0003676,_ptg000025l_000797
GO:0003676,_ptg000027l_001144
GO:0003676,_ptg000007l_000659
GO:0003676,_ptg000014l_001171
GO:0003676,_ptg000038l_000351
GO:0003676,_ptg000008l_000250
GO:0003676,_ptg000019l_001465
GO:0003676,_ptg000025l_000318
GO:0003676,_ptg000039l_000050
GO:0003676,_ptg000027l_001090
GO:0003676,_ptg000029l_000039
GO:0003676,_ptg000007l_000257
GO:0003676,_ptg000025l_000334
GO:0003676,_ptg000003l_000834
GO:0003676,_ptg000001l_000085
GO:0003676,_ptg000006l_001912
GO:0003676,_ptg000009l_000289
GO:0003676,_ptg000008l_001554
GO:0003676,_ptg000020l_000023
GO:0003676,_ptg000011l_000354
GO:0003676,_ptg000007l_000245
GO:0003676,_ptg000025l_000002
GO:0003676,_ptg000010l_002080
GO:0003676,_ptg000011l_000158
GO:0003676,_ptg000038l_000513
GO:0003676,_ptg000019l_001462
GO:0003676,_ptg000008l_000268
GO:0003676,_ptg000014l_000328
GO:0003676,_ptg000038l_000381
GO:0003676,_ptg000008l_001071
GO:0003676,_ptg000020l_000740
GO:0003676,_ptg000020l_001403
GO:0003676,_ptg000038l_000856
GO:0003676,_ptg000001l_001810
GO:0003676,_ptg000027l_000045
GO:0003676,_ptg000038l_000374
GO:0003676,_ptg000008l_001518
GO:0003676,_ptg000018l_001012
GO:0003676,_ptg000019l_001543
GO:0003676,_ptg000004l_000695
GO:0003676,_ptg000014l_000605
GO:0003676,_ptg000019l_000545
GO:0003676,_ptg000010l_002223
GO:0003676,_ptg000020l_000107
GO:0003676,_ptg000008l_000246
GO:0003676,_ptg000003l_000537
GO:0003676,_ptg000007l_000644
GO:0003676,_ptg000002l_000567
GO:0003676,_ptg000001l_001307
GO:0003676,_ptg000027l_000544
GO:0003676,_ptg000010l_000263
GO:0003676,_ptg000027l_000176
GO:0003676,_ptg000010l_002076
GO:0003676,_ptg000023l_000083
GO:0003676,_ptg000008l_000684
GO:0003676,_ptg000006l_000359
GO:0003676,_ptg000001l_001129
GO:0003676,_ptg000008l_001441
GO:0003676,_ptg000023l_000007
GO:0003676,_ptg000007l_000002
GO:0003676,_ptg000014l_000741
GO:0003676,_ptg000007l_000963
GO:0003676,_ptg000016l_000798
GO:0003676,_ptg000002l_000477
GO:0003676,_ptg000001l_001825
GO:0003676,_ptg000006l_001484
GO:0003676,_ptg000003l_001012
GO:0003676,_ptg000007l_000717
GO:0003676,_ptg000027l_000098
GO:0003676,_ptg000003l_000716
GO:0003676,_ptg000018l_000153
GO:0003676,_ptg000004l_000204
GO:0003676,_ptg000018l_000918
GO:0003676,_ptg000006l_001757
GO:0003676,_ptg000019l_000696
GO:0003676,_ptg000019l_001337
GO:0003676,_ptg000004l_000296
GO:0003676,_ptg000018l_001843
GO:0003676,_ptg000010l_000119
GO:0003676,_ptg000025l_000166
GO:0003676,_ptg000014l_000617
GO:0003676,_ptg000020l_000826
GO:0003676,_ptg000038l_000158
GO:0003676,_ptg000006l_000504
GO:0003676,_ptg000016l_002332
GO:0003676,_ptg000014l_000212
GO:0003676,_ptg000011l_000324
GO:0003676,_ptg000016l_001433
GO:0003676,_ptg000018l_001672
GO:0003676,_ptg000010l_001646
GO:0003676,_ptg000019l_000587
GO:0003676,_ptg000011l_000292
GO:0003676,_ptg000011l_000414
GO:0003676,_ptg000007l_000504
GO:0003676,_ptg000016l_000604
GO:0003676,_ptg000010l_001602
GO:0003676,_ptg000025l_000026
GO:0003676,_ptg000010l_001432
GO:0003676,_ptg000001l_001973
GO:0003676,_ptg000001l_000015
GO:0003676,_ptg000002l_000239
GO:0003676,_ptg000006l_001901
GO:0003676,_ptg000010l_000169
GO:0003676,_ptg000016l_001825
GO:0003676,_ptg000016l_000142
GO:0003676,_ptg000003l_000560
GO:0003676,_ptg000027l_000373
GO:0003676,_ptg000016l_000651
GO:0003676,_ptg000011l_000071
GO:0003676,_ptg000025l_000725
GO:0003676,_ptg000089l_000024
GO:0003676,_ptg000008l_000336
GO:0003676,_ptg000009l_000671
GO:0003676,_ptg000020l_001319
GO:0003676,_ptg000019l_000447
GO:0003676,_ptg000016l_000275
GO:0003676,_ptg000003l_000766
GO:0003676,_ptg000027l_000297
GO:0003676,_ptg000012l_000495
GO:0003676,_ptg000025l_000724
GO:0003676,_ptg000001l_001167
GO:0003676,_ptg000010l_002535
GO:0003676,_ptg000010l_001200
GO:0003676,_ptg000018l_000532
GO:0003676,_ptg000010l_002137
GO:0003676,_ptg000038l_000770
GO:0003676,_ptg000001l_001231
GO:0003676,_ptg000014l_000036
GO:0003676,_ptg000018l_001841
GO:0003676,_ptg000007l_001184
GO:0003676,_ptg000010l_001088
GO:0003676,_ptg000007l_000133
GO:0003676,_ptg000018l_001840
GO:0003676,_ptg000019l_000199
GO:0003676,_ptg000014l_001197
GO:0003676,_ptg000001l_000569
GO:0003676,_ptg000010l_000005
GO:0003676,_ptg000008l_001128
GO:0003676,_ptg000018l_000444
GO:0003676,_ptg000018l_001839
GO:0003676,_ptg000007l_000835
GO:0003676,_ptg000006l_001960
GO:0003676,_ptg000012l_000041
GO:0003676,_ptg000016l_000513
GO:0003676,_ptg000025l_000536
GO:0003676,_ptg000027l_001166
GO:0003676,_ptg000004l_000579
GO:0003676,_ptg000008l_000729
GO:0003676,_ptg000016l_000119
GO:0003676,_ptg000014l_000469
GO:0003676,_ptg000007l_000727
GO:0003676,_ptg000006l_002239
GO:0003676,_ptg000010l_000967
GO:0003676,_ptg000001l_001982
GO:0003676,_ptg000001l_000615
GO:0003676,_ptg000029l_000023
GO:0003676,_ptg000006l_001534
GO:0003676,_ptg000020l_000121
GO:0003676,_ptg000007l_000183
GO:0003676,_ptg000010l_001294
GO:0003676,_ptg000014l_000752
GO:0003676,_ptg000014l_000552
GO:0003676,_ptg000038l_000936
GO:0003676,_ptg000016l_000783
GO:0003676,_ptg000006l_001710
GO:0003676,_ptg000018l_000016
GO:0003676,_ptg000016l_001245
GO:0003676,_ptg000019l_001022
GO:0003676,_ptg000018l_000890
GO:0003676,_ptg000002l_000407
GO:0003676,_ptg000027l_001085
GO:0003676,_ptg000023l_000289
GO:0003676,_ptg000002l_000151
GO:0003676,_ptg000014l_000383
GO:0003676,_ptg000025l_000616
GO:0003676,_ptg000018l_001564
GO:0003676,_ptg000020l_001454
GO:0003676,_ptg000019l_001408
